id_region,id_sector,id_energy_carrier,year,unit,value
903,6,3,2021,1000 t CO2,49
903,6,2,2021,1000 t CO2,2
903,6,2,2021,1000 t CO2,559
903,6,2,2021,1000 t CO2,2
903,6,2,2021,1000 t CO2,32
903,6,6,2021,1000 t CO2,1181
903,6,1,2021,1000 t CO2,1599
903,6,13,2021,1000 t CO2,1489
903,3&6,2,2021,1000 t CO2,105
903,3&6,2,2021,1000 t CO2,336
903,3&6,2,2021,1000 t CO2,11
903,3&6,6,2021,1000 t CO2,1541
903,3&6,1,2021,1000 t CO2,2215
903,3&6,13,2021,1000 t CO2,1268
904,6,3,2021,1000 t CO2,149
904,6,2,2021,1000 t CO2,10
904,6,2,2021,1000 t CO2,554
904,6,2,2021,1000 t CO2,1
904,6,2,2021,1000 t CO2,110
904,6,6,2021,1000 t CO2,1872
904,6,1,2021,1000 t CO2,1573
904,6,13,2021,1000 t CO2,719
904,3&6,2,2021,1000 t CO2,370
904,3&6,2,2021,1000 t CO2,321
904,3&6,2,2021,1000 t CO2,33
904,3&6,6,2021,1000 t CO2,740
904,3&6,1,2021,1000 t CO2,1287
904,3&6,13,2021,1000 t CO2,155
905,3&6,3,2019,1000 t CO2,2
905,3&6,2,2019,1000 t CO2,51
905,3&6,2,2019,1000 t CO2,371
905,3&6,2,2019,1000 t CO2,8
905,3&6,6,2019,1000 t CO2,701
905,3&6,1,2019,1000 t CO2,828
905,3&6,13,2019,1000 t CO2,282
906,6,3,2021,1000 t CO2,2
906,6,2,2021,1000 t CO2,10
906,6,2,2021,1000 t CO2,314
906,6,2,2021,1000 t CO2,2
906,6,2,2021,1000 t CO2,27
906,6,6,2021,1000 t CO2,914
906,6,1,2021,1000 t CO2,1231
906,6,13,2021,1000 t CO2,973
906,3&6,2,2021,1000 t CO2,119
906,3&6,2,2021,1000 t CO2,323
906,3&6,2,2021,1000 t CO2,28
906,3&6,6,2021,1000 t CO2,723
906,3&6,1,2021,1000 t CO2,1161
906,3&6,13,2021,1000 t CO2,619
909,6,3,2021,1000 t CO2,67
909,6,2,2021,1000 t CO2,29
909,6,2,2021,1000 t CO2,2366
909,6,2,2021,1000 t CO2,6
909,6,2,2021,1000 t CO2,154
909,6,6,2021,1000 t CO2,7704
909,6,1,2021,1000 t CO2,5110
909,6,13,2021,1000 t CO2,493
909,3&6,2,2021,1000 t CO2,1163
909,3&6,2,2021,1000 t CO2,870
909,3&6,2,2021,1000 t CO2,79
909,3&6,6,2021,1000 t CO2,2819
909,3&6,1,2021,1000 t CO2,4166
909,3&6,13,2021,1000 t CO2,282
910,6,3,2021,1000 t CO2,94
910,6,2,2021,1000 t CO2,58
910,6,2,2021,1000 t CO2,4828
910,6,2,2021,1000 t CO2,13
910,6,2,2021,1000 t CO2,480
910,6,6,2021,1000 t CO2,16136
910,6,1,2021,1000 t CO2,12756
910,6,13,2021,1000 t CO2,2321
910,3&6,3,2021,1000 t CO2,6
910,3&6,2,2021,1000 t CO2,1879
910,3&6,2,2021,1000 t CO2,2007
910,3&6,2,2021,1000 t CO2,325
910,3&6,6,2021,1000 t CO2,3577
910,3&6,1,2021,1000 t CO2,8593
910,3&6,13,2021,1000 t CO2,984
912,3&6,3,2021,1000 t CO2,13
912,3&6,2,2021,1000 t CO2,50
912,3&6,2,2021,1000 t CO2,607
912,3&6,2,2021,1000 t CO2,1
912,3&6,2,2021,1000 t CO2,42
912,3&6,6,2021,1000 t CO2,1567
912,3&6,1,2021,1000 t CO2,1256
912,3&6,13,2021,1000 t CO2,226
913,3&6,3,2019,1000 t CO2,276
913,3&6,2,2019,1000 t CO2,503
913,3&6,2,2019,1000 t CO2,1486
913,3&6,2,2019,1000 t CO2,209
913,3&6,6,2019,1000 t CO2,3445
913,3&6,1,2019,1000 t CO2,4032
913,3&6,13,2019,1000 t CO2,1630
915,6,3,2021,1000 t CO2,23
915,6,2,2021,1000 t CO2,2
915,6,2,2021,1000 t CO2,1046
915,6,2,2021,1000 t CO2,2
915,6,2,2021,1000 t CO2,81
915,6,6,2021,1000 t CO2,2354
915,6,1,2021,1000 t CO2,1976
915,6,13,2021,1000 t CO2,689
915,3&6,2,2021,1000 t CO2,299
915,3&6,2,2021,1000 t CO2,548
915,3&6,2,2021,1000 t CO2,35
915,3&6,6,2021,1000 t CO2,1257
915,3&6,1,2021,1000 t CO2,1460
915,3&6,13,2021,1000 t CO2,291
907,3&6,3,2021,1000 t CO2,53
907,3&6,2,2021,1000 t CO2,3978
907,3&6,6,2021,1000 t CO2,7082
907,3&6,1&13,2021,1000 t CO2,10234
908,6,3,2019,1000 t CO2,58
908,6,2,2019,1000 t CO2,654
908,6,6,2019,1000 t CO2,866
908,6,1,2019,1000 t CO2,827
908,6,13,2019,1000 t CO2,364
908,3&6,2,2019,1000 t CO2,528
908,3&6,6,2019,1000 t CO2,555
908,3&6,1,2019,1000 t CO2,887
908,3&6,13,2019,1000 t CO2,205
914,3&6,3,2021,1000 t CO2,100
914,3&6,2,2021,1000 t CO2,957
914,3&6,2,2021,1000 t CO2,659
914,3&6,6,2021,1000 t CO2,2315
914,3&6,1,2021,1000 t CO2,2515
914,3&6,13,2021,1000 t CO2,866
902,3&6,3,2021,1000 t CO2,140
902,3&6,2,2021,1000 t CO2,10204
902,3&6,6,2021,1000 t CO2,10995
903,3&6,3,2019,1000 t CO2,25
903,3&6,2,2019,1000 t CO2,119
903,3&6,2,2019,1000 t CO2,1140
903,3&6,2,2019,1000 t CO2,1
903,3&6,2,2019,1000 t CO2,39
903,3&6,6,2019,1000 t CO2,2479
903,3&6,1,2019,1000 t CO2,4168
903,3&6,13,2019,1000 t CO2,2546
904,3&6,3,2019,1000 t CO2,137
904,3&6,2,2019,1000 t CO2,418
904,3&6,2,2019,1000 t CO2,849
904,3&6,2,2019,1000 t CO2,1
904,3&6,2,2019,1000 t CO2,22
904,3&6,6,2019,1000 t CO2,2252
904,3&6,1,2019,1000 t CO2,2581
904,3&6,13,2019,1000 t CO2,892
906,6,3,2019,1000 t CO2,2
906,6,2,2019,1000 t CO2,15
906,6,2,2019,1000 t CO2,520
906,6,2,2019,1000 t CO2,1
906,6,2,2019,1000 t CO2,23
906,6,6,2019,1000 t CO2,831
906,6,1,2019,1000 t CO2,1235
906,6,13,2019,1000 t CO2,824
906,3&6,2,2019,1000 t CO2,140
906,3&6,2,2019,1000 t CO2,136
906,3&6,2,2019,1000 t CO2,45
906,3&6,6,2019,1000 t CO2,644
906,3&6,1,2019,1000 t CO2,1416
906,3&6,13,2019,1000 t CO2,645
909,6,3,2019,1000 t CO2,61
909,6,2,2019,1000 t CO2,43
909,6,2,2019,1000 t CO2,3087
909,6,2,2019,1000 t CO2,5
909,6,2,2019,1000 t CO2,140
909,6,6,2019,1000 t CO2,7034
909,6,1,2019,1000 t CO2,4390
909,6,13,2019,1000 t CO2,376
909,3&6,2,2019,1000 t CO2,1313
909,3&6,2,2019,1000 t CO2,567
909,3&6,2,2019,1000 t CO2,106
909,3&6,6,2019,1000 t CO2,2409
909,3&6,1,2019,1000 t CO2,4915
909,3&6,13,2019,1000 t CO2,403
910,6,3,2019,1000 t CO2,114
910,6,2,2019,1000 t CO2,102
910,6,2,2019,1000 t CO2,6286
910,6,2,2019,1000 t CO2,10
910,6,2,2019,1000 t CO2,411
910,6,6,2019,1000 t CO2,14781
910,6,1,2019,1000 t CO2,12217
910,6,13,2019,1000 t CO2,1427
910,3&6,3,2019,1000 t CO2,4
910,3&6,2,2019,1000 t CO2,1883
910,3&6,2,2019,1000 t CO2,2309
910,3&6,2,2019,1000 t CO2,464
910,3&6,6,2019,1000 t CO2,4966
910,3&6,1,2019,1000 t CO2,8861
910,3&6,13,2019,1000 t CO2,2554
912,3&6,3,2019,1000 t CO2,15
912,3&6,2,2019,1000 t CO2,51
912,3&6,2,2019,1000 t CO2,631
912,3&6,2,2019,1000 t CO2,1
912,3&6,2,2019,1000 t CO2,51
912,3&6,6,2019,1000 t CO2,1344
912,3&6,1,2019,1000 t CO2,1338
912,3&6,13,2019,1000 t CO2,211
915,6,3,2019,1000 t CO2,24
915,6,2,2019,1000 t CO2,3
915,6,2,2019,1000 t CO2,1180
915,6,2,2019,1000 t CO2,1
915,6,2,2019,1000 t CO2,76
915,6,6,2019,1000 t CO2,2090
915,6,1,2019,1000 t CO2,1781
915,6,13,2019,1000 t CO2,665
915,3&6,2,2019,1000 t CO2,316
915,3&6,2,2019,1000 t CO2,307
915,3&6,2,2019,1000 t CO2,40
915,3&6,6,2019,1000 t CO2,1002
915,3&6,1,2019,1000 t CO2,1644
915,3&6,13,2019,1000 t CO2,316
914,6,3,2019,1000 t CO2,90
914,6,2,2019,1000 t CO2,1054
914,6,6,2019,1000 t CO2,1311
914,6,1,2019,1000 t CO2,1118
914,6,13,2019,1000 t CO2,424
914,3&6,3,2019,1000 t CO2,2
914,3&6,2,2019,1000 t CO2,722
914,3&6,6,2019,1000 t CO2,758
914,3&6,1,2019,1000 t CO2,1317
914,3&6,13,2019,1000 t CO2,247
901,3&6,all,2019,1000 t CO2,33803
916,3&6,all,2019,1000 t CO2,6045
911,3&6,all,2019,1000 t CO2,13508
902,3&6,3,2019,1000 t CO2,145
902,3&6,2,2019,1000 t CO2,13413
902,3&6,6,2019,1000 t CO2,10031
